Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-544.3794	-573.5949	29.21553	0.000105602	0.0113094	0.0270477	0.0266204	0.101719	0.0167205	0.0861808	0.0033981	0.0139253	0.0254737	0.0183306	0.0062348	0.0568065	0.0287178	0.00812863	0.0645588	0.0119405	0.0419141	0.0187714	0.0110174	0.0401028	0.00113446	0.0270694	0.0478415	0.0271036	0.0111051	0.0538489	0.0923823	0.042099	0.694616	1.12215	0.496998	1.503002	0.0818585	0.295052	0.68331	1.46346	3.38923	12.2162	1.80967	3.024161	0.2476012	0.000114585	0.0122713	0.0293484	0.0288847	0.110371	0.0181428	0.0935114	0.00368714	0.0151098	0.0276405	0.0198898	0.00676513	0.0616385	0.0311605	0.00882005	0.0700502	0.0129562	0.0454793	0.0203681	0.0119546	0.0435139	0.00123095	0.029372	0.0519109	0.029409	0.0120497	0.0584294	0.10024	0.0456799	0.751501	0.248499	0.9216076
30	-543.0854	-571.3288	28.2434	0.0310243	0.0108386	0.291302	0.0479016	0.116194	0.022643	0.124098	0.00870119	0.112418	0.0925034	0.183646	0.0279809	0.153368	0.103847	0.0196567	0.21267	0.0786476	0.0270365	0.0749942	0.121571	0.0718501	0.0389822	0.0735348	0.02388	0.0641143	0.0065986	0.141533	0.0424844	0.0542395	0.599119	1.16035	0.5540598	1.44594	0.213675	0.471106	0.790713	1.26468	2.12266	4.68001	1.115913	2.609718	0.20653	0.0130449	0.00455738	0.122486	0.0201415	0.0488569	0.00952081	0.0521801	0.00365864	0.0472689	0.0388954	0.0772185	0.0117653	0.0644876	0.0436651	0.00826515	0.0894226	0.0330694	0.0113682	0.0315332	0.0511176	0.0302112	0.0163911	0.0309196	0.010041	0.0269585	0.00277455	0.0595113	0.0178636	0.0228064	0.72297	0.27703	2.378259
60	-537.5999	-565.9972	28.39733	0.00262081	0.000803227	0.0247128	0.00277338	0.0246626	0.000408806	0.0756187	0.000684051	0.000876381	0.0178314	0.0276875	0.00722169	0.0321593	0.0235603	0.00346006	0.0510057	0.00736096	0.015005	0.00164791	0.0079852	0.0169142	0.000787951	0.00196122	0.013957	0.0112026	0.00326853	0.0113667	0.0153454	0.0205428	0.343332	1.26267	0.2971196	1.70288	0.0347031	0.194148	0.599668	1.66759	5.1507	28.8159	2.430181	5.731297	0.1087641	0.00618946	0.00189694	0.0583631	0.00654976	0.0582446	0.000965457	0.178585	0.00161549	0.00206971	0.0421117	0.0653883	0.0170551	0.0759491	0.0556413	0.00817145	0.120458	0.017384	0.0354365	0.0038918	0.0188583	0.0399454	0.00186087	0.00463171	0.0329615	0.0264567	0.00771914	0.0268442	0.0362405	0.048515	0.85144	0.14856	0.4234322
90	-546.2485	-575.1236	28.87506	0.00226685	0.037481	0.206782	0.0280384	0.0591024	0.0287902	0.0797578	0.0122325	0.0407963	0.0596301	0.0919014	0.13514	0.0787269	0.126915	0.0538558	0.18862	0.100532	0.0241834	0.00138164	0.235682	0.0400279	0.0756318	0.0567817	0.0434211	0.240381	0.0503271	0.025571	0.000714065	0.0453231	0.918767	1.03249	0.9808394	1.019161	0.129469	0.368979	0.732677	1.36486	2.71018	7.72384	1.478178	1.03907	0.3559412	0.00104463	0.0172724	0.0952913	0.0129209	0.0272362	0.0132674	0.0367549	0.00563712	0.0188002	0.0274794	0.042351	0.0622767	0.0362798	0.0584865	0.0248184	0.0869218	0.046328	0.0111444	0.000636701	0.10861	0.0184461	0.0348535	0.0261667	0.0200098	0.110775	0.0231923	0.0117839	0.000329063	0.0208863	0.50958	0.49042	2.169994
120	-539.6619	-569.1371	29.47517	0.00440419	0.0014332	0.00899509	0.0110211	0.0186828	0.00160995	0.0677534	0.0308363	0.000244696	0.0503699	0.0724624	0.0264369	0.0542783	0.0364143	0.0119453	0.0511141	0.00608438	0.0180778	0.00655123	0.00109887	0.0185881	0.00426883	0.00764874	0.0278214	0.0611797	0.0228999	0.0541272	0.0435251	0.0101462	0.191498	1.3234	0.5822945	1.417706	0.0254919	0.167031	0.572173	1.74772	5.9869	39.2281	2.653225	2.434688	0.05788054	0.00603297	0.00196324	0.0123217	0.015097	0.0255922	0.00220535	0.0928104	0.0422404	0.000335191	0.068998	0.0992609	0.036214	0.0743519	0.0498812	0.0163631	0.0700174	0.00833455	0.0247634	0.00897405	0.00150527	0.0254625	0.00584756	0.0104774	0.0381104	0.0838056	0.031369	0.0741449	0.0596218	0.0138986	0.708853	0.291147	0.7300193
150	-539.8282	-569.2642	29.43608	0.00682173	0.0159537	0.0102905	0.00222951	0.0477204	0.00676876	0.0911382	0.00776433	0.0108689	0.0270029	0.0819299	0.0414868	0.0163929	0.0272059	0.000896014	0.0348851	0.0237069	0.0170486	0.0184579	0.0415415	0.0089948	0.00194427	0.0410097	0.0188217	0.0480838	0.0357796	0.0125642	0.00200722	0.0177515	0.382558	1.24698	0.5439821	1.456018	0.0417424	0.212448	0.616758	1.62138	4.70704	23.9564	2.296638	2.676591	0.1227155	0.00951338	0.0222485	0.0143508	0.0031092	0.0665494	0.00943951	0.127099	0.0108279	0.0151575	0.0376574	0.114257	0.0578562	0.0228611	0.0379405	0.00124955	0.0486496	0.033061	0.0237755	0.0257408	0.0579325	0.0125439	0.00271141	0.0571909	0.0262482	0.0670562	0.0498971	0.0175216	0.00279921	0.0247556	0.728009	0.271991	0.7170673
180	-539.2588	-568.1079	28.84911	0.029246	0.0112265	0.0316615	0.0108207	0.0637145	0.0163142	0.233751	0.0126607	0.0340447	0.0798285	0.0873797	0.0512318	0.0238494	0.0548435	0.0133886	0.124974	0.0135342	0.00441487	0.0430091	0.0523232	0.0547893	0.0314539	0.105182	0.0976258	0.123325	0.100119	0.0308635	0.104829	0.0455289	0.859564	1.05617	0.7572864	1.242714	0.0832351	0.297461	0.685047	1.45975	3.36178	12.0142	1.797611	1.641009	0.3255388	0.017347	0.00665893	0.0187798	0.00641821	0.0377918	0.00967668	0.138648	0.00750958	0.0201934	0.0473498	0.0518287	0.0303878	0.0141461	0.03253	0.00794137	0.0741275	0.00802771	0.00261865	0.0255106	0.0310352	0.0324979	0.0186567	0.0623878	0.0579061	0.0731495	0.0593851	0.0183065	0.0621786	0.0270052	0.621357	0.378643	1.685933
210	-543.8745	-571.3937	27.51924	0.0326007	0.049789	0.0333525	0.100999	0.0444883	0.0253215	0.224773	0.0443675	0.00795534	0.0152143	0.232284	0.0304988	0.109063	0.106883	0.0223831	0.251791	0.00161434	0.00480199	0.0315428	0.0730621	0.0657018	0.11723	0.157995	0.0802043	0.078413	0.185007	0.0430965	0.146851	0.0825397	1.04578	0.981689	0.535439	1.464561	0.179181	0.432343	0.769813	1.29902	2.31298	5.58094	1.243214	2.735253	0.4261142	0.0135846	0.0207469	0.0138979	0.0420862	0.0185381	0.0105514	0.0936624	0.0184878	0.00331497	0.00633974	0.0967921	0.0127088	0.0454463	0.0445377	0.00932697	0.104921	0.000672692	0.00200097	0.0131438	0.0304448	0.0273778	0.0488493	0.0658363	0.0334209	0.0326745	0.0770919	0.0179582	0.0611924	0.0343941	0.732281	0.267719	2.399824
240	-540.5894	-566.3728	25.78339	0.0113043	0.0278383	0.0323915	0.00791769	0.0283263	0.0092865	0.0537223	0.00921382	0.00124451	0.00283425	0.0592923	0.009838	0.027468	0.0491733	0.0115861	0.0621223	0.0144008	0.00380968	0.0142835	0.0293269	0.0122391	0.0252676	0.0437841	0.0191299	0.00177587	0.0576119	0.0424841	0.0342115	0.0149624	3.05679	0.177282	0.9050468	1.094953	0.0177445	0.139979	0.541487	1.84677	7.14391	56.3555	2.915182	1.20983	6.897021	0.0157695	0.0388344	0.0451861	0.0110452	0.0395151	0.0129546	0.0749425	0.0128533	0.00173609	0.00395378	0.0827127	0.013724	0.0383178	0.0685966	0.0161626	0.0866605	0.0200891	0.00531449	0.0199255	0.040911	0.0170735	0.0352483	0.0610788	0.0266862	0.00247734	0.0803685	0.0592652	0.0477249	0.0208726	0.547477	0.452523	0.716847
270	-538.0129	-566.392	28.37904	0.0177644	0.0365288	0.0420029	0.0108748	0.0545754	0.00100309	0.0561329	0.010327	0.00296702	0.0270124	0.0243373	0.0157575	0.0210747	0.0693423	0.00944312	0.118551	0.0149304	0.00985728	0.0221361	0.0645075	0.0155814	0.0617745	0.00782017	0.0178914	0.0140342	0.0705896	0.0520541	0.030456	0.0188829	1.45644	0.817425	0.6379791	1.362021	0.0444828	0.219139	0.622754	1.60577	4.56331	22.4806	2.250662	2.134899	0.7126944	0.0193468	0.0397826	0.0457443	0.0118435	0.0594367	0.00109244	0.0611329	0.0112469	0.00323131	0.0294186	0.0265051	0.0171611	0.0229519	0.075519	0.0102843	0.129111	0.0162603	0.0107353	0.0241079	0.0702535	0.0169694	0.0672771	0.00851675	0.0194851	0.0152843	0.0768774	0.0566908	0.0331688	0.0205649	0.68101	0.31899	0.91821
