Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-649.6498	-675.2996	25.64983	0.00306423	0.0294933	0.0455474	0.00661454	0.0316396	0.0583096	0.0232811	0.0137241	0.0465655	0.106993	0.00985089	0.000525927	0.145995	0.000525144	0.107132	0.0658594	0.0356432	0.0312926	0.00502903	0.0248919	0.130492	0.015915	0.0673942	0.0611958	0.0764749	0.0361958	0.0163273	0.155972	0.00775721	2.03875	0.5845	0.840789	1.159211	0.00256218	0.0544718	0.403375	2.47908	18.3581	390.293	4.314479	1.378718	1.395208	0.0022536	0.021691	0.0334981	0.0048647	0.0232695	0.0428841	0.0171222	0.0100935	0.0342468	0.0786884	0.00724489	0.000386796	0.107373	0.00038622	0.0787911	0.0484367	0.026214	0.0230143	0.00369863	0.0183069	0.0959709	0.0117047	0.0495654	0.0450068	0.0562439	0.0266204	0.012008	0.11471	0.00570508	0.579605	0.420395	1.359702
30	-673.0286	-699.0322	26.00357	0.0312733	0.0105788	0.0123763	0.0282527	0.0320389	0.0777069	0.00778255	0.0694582	0.0343896	0.10563	0.0300726	0.0129372	0.0387786	0.00438105	0.08671	0.0814502	0.0125239	0.041306	0.156531	0.130211	0.0774208	0.0191468	0.181605	0.0259504	0.0525628	0.00537195	0.0310289	0.116164	0.0078288	2.7845	0.286201	0.8810843	1.118916	0.027636	0.173741	0.579247	1.72638	5.75568	36.1847	2.594831	1.26993	3.891668	0.0205547	0.00695301	0.00813447	0.0185694	0.0210579	0.0510736	0.00511516	0.0456521	0.0226029	0.0694262	0.0197655	0.00850311	0.0254876	0.00287948	0.056991	0.0535339	0.00823143	0.0271488	0.102882	0.0855827	0.0508856	0.0125844	0.119361	0.0170562	0.0345474	0.00353076	0.020394	0.0763502	0.00514555	0.559458	0.440542	1.521469
60	-638.7319	-664.9277	26.19572	0.0350853	0.0606687	0.0396182	0.0277884	0.0584296	0.0537004	0.256283	0.0551625	0.0153579	0.0469413	0.037943	0.00209106	0.0961715	0.00485349	0.0291897	0.275171	0.0229074	0.018028	0.0674449	0.117335	0.0184762	0.015206	0.0758635	0.0580161	0.0273278	0.0282849	0.0239272	0.0939079	0.0796815	0.524365	1.19025	0.5670161	1.432984	0.00276622	0.0565459	0.408105	2.45035	17.6847	361.505	4.259074	2.527236	0.1762194	0.020154	0.0348498	0.0227578	0.0159625	0.0335636	0.030847	0.147216	0.0316869	0.00882198	0.0269644	0.0217955	0.00120116	0.0552436	0.00278798	0.0167674	0.158066	0.0131586	0.0103558	0.0387422	0.0674008	0.0106133	0.00873478	0.0435781	0.0333261	0.0156978	0.0162476	0.0137444	0.0539433	0.0457713	0.716492	0.283508	1.740862
90	-660.4972	-685.3165	24.81928	0.0311341	0.0101734	0.0506428	0.024659	0.0424783	0.132234	0.0355457	0.0203304	0.0152115	0.109665	0.00239169	0.00176011	0.0578002	0.00733271	0.0259025	0.0243704	0.0686684	0.00195933	0.296396	0.0387251	0.0163955	0.00986144	0.0548086	0.0249397	0.00549298	0.0357367	0.0397162	0.0954071	0.154434	2.83936	0.264256	0.8696514	1.130349	0.00570484	0.0804849	0.45562	2.19481	12.4247	175.29	3.735692	1.299772	4.29789	0.0217088	0.00709355	0.0353115	0.0171939	0.0296187	0.0922025	0.0247848	0.0141757	0.0106064	0.0764654	0.00166764	0.00122727	0.0403021	0.00511285	0.0180609	0.0169926	0.0478801	0.00136618	0.206667	0.0270017	0.0114321	0.00687605	0.0382162	0.0173896	0.00383007	0.024918	0.0276927	0.0665242	0.107682	0.565174	0.434826	1.434173
120	-654.3396	-676.6749	22.33527	0.00584023	0.0150202	0.0174498	0.017791	0.0340371	0.0173662	0.0486272	0.0364259	0.0197712	0.00606235	0.00442482	0.00361307	0.00785617	0.0248843	0.0854509	0.0650619	0.0148414	0.006792	0.080606	0.0199556	0.00938046	0.0276692	0.0173391	0.0303784	0.0111711	0.0064121	0.00712584	0.0275677	0.0432489	2.75976	0.296097	0.4723534	1.527647	0.000222937	0.0165577	0.278202	3.59451	60.3949	4485.57	6.080012	3.234118	3.728185	0.00820061	0.0210908	0.0245022	0.0249814	0.0477935	0.0243849	0.0682802	0.0511478	0.027762	0.00851251	0.00621316	0.00507332	0.0110313	0.0349416	0.119987	0.0913572	0.0208397	0.00953705	0.113184	0.0280209	0.0131717	0.038852	0.0243468	0.0426561	0.015686	0.0090036	0.0100058	0.0387095	0.0607284	0.763823	0.236177	0.7121703
150	-612.5239	-640.3918	27.86795	0.0328589	0.0311315	0.00385463	0.058184	0.111315	0.0481835	0.0481473	0.150018	0.0538536	0.00544287	0.0366663	0.122483	0.097297	0.0583543	0.00670193	0.212779	0.0476696	0.0358425	0.148996	0.0430903	0.030678	0.0316839	0.056706	0.152903	0.0316774	0.00208963	0.00189526	0.141962	0.0851774	0.873519	1.05059	0.7742207	1.225779	0.0309467	0.183598	0.589306	1.69691	5.44667	32.3136	2.513018	1.583243	0.3325813	0.0174074	0.0164923	0.00204203	0.0308236	0.0589706	0.0255258	0.0255066	0.0794735	0.0285296	0.00288342	0.0194244	0.064887	0.0515442	0.0309139	0.00355042	0.112722	0.0252535	0.018988	0.0789322	0.0228276	0.016252	0.0167849	0.0300406	0.0810019	0.0167814	0.00110701	0.00100404	0.0752062	0.0451237	0.61289	0.38711	1.887642
180	-637.4965	-666.1465	28.65006	0.0410145	0.0146705	0.0273276	0.0976974	0.0647019	0.0128536	0.0155708	0.0821929	0.0663402	0.0046381	0.182862	0.0295251	0.0307437	0.0711068	0.0264044	0.116579	0.0127036	0.065222	0.0934028	0.0575944	0.00797053	0.0015401	0.0147348	0.0230453	0.0264703	0.00325737	0.0128446	0.0261873	0.0260427	0.44086	1.22366	0.6446734	1.355327	0.0213863	0.153322	0.557087	1.79505	6.52224	46.7589	2.780203	2.102346	0.1441123	0.0326745	0.0116874	0.0217707	0.0778314	0.0515453	0.0102399	0.0124046	0.0654796	0.0528504	0.00369498	0.145678	0.0235214	0.0244922	0.0566478	0.0210353	0.0928737	0.0101204	0.0519596	0.0744101	0.045883	0.00634979	0.00122693	0.0117386	0.0183592	0.0210878	0.00259501	0.0102328	0.0208623	0.0207471	0.677663	0.322337	1.255244
210	-623.2193	-650.1058	26.8865	0.0946321	0.0247815	0.0965727	0.00959688	0.0701399	0.0716242	0.0197995	0.0140578	0.153395	0.0255401	0.0155562	0.157602	0.0547808	0.029237	0.0218715	0.126377	0.000306607	0.0561222	0.101253	0.0520946	0.0062174	0.0103304	0.0135301	0.0696131	0.0286951	0.0896034	0.0577462	0.0463392	0.0231749	1.96816	0.612735	0.6060431	1.393957	0.0391107	0.205806	0.610677	1.63753	4.85894	25.5685	2.343726	2.300096	1.284838	0.0614259	0.0160857	0.0626855	0.00622935	0.0455279	0.0464914	0.0128519	0.00912494	0.0995687	0.0165781	0.0100976	0.1023	0.0355583	0.0189778	0.0141968	0.0820318	0.000199019	0.036429	0.0657235	0.0338147	0.00403573	0.00670548	0.00878239	0.045186	0.018626	0.0581617	0.0374832	0.0300789	0.0150429	0.696978	0.303022	1.540591
240	-673.3705	-702.1522	28.78168	0.0187811	0.0557124	0.0269388	0.00573688	0.0137404	0.0163881	0.00633781	0.0319264	0.0176849	0.0227444	0.00509278	0.0484296	0.0367528	0.00270954	0.0188439	0.00613085	5.28009e-05	0.00454385	0.0260532	0.0214899	0.00461882	0.00864989	0.00283668	0.00222439	0.0207579	0.0182406	0.0463656	0.0250716	0.0125197	1.7618	0.695281	1.010447	0.9895529	0.0278802	0.174488	0.580023	1.72407	5.73104	35.8678	2.58847	0.9793218	1.013573	0.0356123	0.105641	0.0510808	0.0108782	0.0260543	0.0310747	0.0120176	0.0605383	0.0335338	0.0431275	0.00965684	0.0918313	0.06969	0.00513778	0.0357314	0.0116252	0.00010012	0.00861596	0.0494016	0.0407487	0.00875812	0.0164018	0.00537886	0.00421785	0.0393608	0.0345876	0.0879176	0.0475404	0.0237397	0.494776	0.505224	0.5273755
270	-652.7298	-681.7137	28.98385	0.0102233	0.0519044	0.058591	0.0608134	0.0145166	0.0325924	0.00349641	0.028197	0.0217868	0.0470113	0.0909924	0.0742986	0.0513824	0.00693152	0.0289094	0.0316806	0.000605585	0.00315888	0.0750193	0.0323755	0.00629639	0.0520189	0.00627895	0.0445631	0.0135301	0.00986167	0.0438368	0.0130882	0.00976698	1.26614	0.893543	1.193667	0.8063333	0.0147818	0.128048	0.526643	1.89882	7.80959	67.6507	3.047271	0.6755096	0.5667966	0.0110674	0.0561901	0.0634289	0.0658348	0.0157152	0.0352836	0.00378511	0.0305252	0.0235857	0.050893	0.0985057	0.0804334	0.055625	0.00750386	0.0312965	0.0342965	0.000655588	0.00341971	0.0812136	0.0350487	0.00681628	0.0563141	0.0067974	0.0482426	0.0146473	0.0106759	0.0474564	0.0141689	0.0105734	0.403167	0.596833	0.923728
