Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-861.4893	-890.1508	28.66157	0.00122603	0.0126405	0.012338	0.0126916	0.0654201	0.026076	0.0727625	0.0509774	0.125053	0.0624041	0.0989723	0.00103104	0.110246	0.047286	0.0300961	0.0744859	0.0438458	0.000223975	0.0103901	0.0220806	0.0667753	0.0491217	0.0229079	0.0971205	0.0335185	0.0103917	0.0158772	0.091757	0.0383082	2.01505	0.593979	0.4204261	1.579574	0.767633	0.879001	0.960563	1.04106	1.13766	1.30271	0.1912105	3.757079	1.356987	0.000938746	0.0096786	0.00944697	0.00971775	0.050091	0.0199659	0.0557129	0.0390325	0.095751	0.0477817	0.0757813	0.00078945	0.0844136	0.036206	0.0230441	0.0570325	0.0335719	0.000171494	0.00795552	0.0169067	0.0511286	0.0376116	0.0175401	0.0743634	0.0256645	0.00795675	0.0121569	0.0702566	0.0293319	0.789787	0.210213	1.306026
30	-1020.624	-1048.171	27.5471	0.0101222	0.000792029	0.00326957	6.37518e-05	0.00431479	0.0132047	0.0130408	0.00942233	0.0214744	0.00519026	0.00393419	0.00085278	0.00713051	0.00819064	0.0051239	0.0156262	0.00759474	5.08525e-05	0.0172411	0.00613619	0.0066424	0.0201609	0.0142723	0.0213992	0.0137186	0.000526168	0.00693034	0.0104808	0.0160738	2.9683	0.21268	1.017409	0.9825912	0.110303	0.341247	0.715033	1.39854	2.93043	9.0659	1.59402	0.9657782	5.582647	0.0384902	0.00301174	0.0124328	0.000242421	0.0164073	0.0502118	0.0495886	0.035829	0.0816578	0.0197363	0.01496	0.00324275	0.0271142	0.0311454	0.019484	0.0594196	0.0288795	0.00019337	0.0655603	0.0233333	0.0252582	0.0766633	0.0542713	0.0813719	0.0521658	0.00200079	0.0263531	0.0398538	0.0611215	0.491296	0.508704	0.2629803
60	-674.0646	-697.7631	23.69858	0.0583053	0.00249444	0.0744585	0.00363811	0.0224441	0.0253738	0.098001	0.0482798	0.067632	0.0107778	0.0209259	0.038013	0.142654	0.0367479	0.137333	0.0642667	0.0390747	0.000329445	0.0425237	0.0349345	0.0915281	0.0614226	0.0514905	0.0608751	0.0341415	0.012436	0.0203217	0.038288	0.201839	3.20739	0.117045	0.7258893	1.274111	0.0158525	0.13249	0.532276	1.87872	7.54775	63.0817	2.996709	1.755241	10.96124	0.0378471	0.00161919	0.0483324	0.00236156	0.0145689	0.0164706	0.0636143	0.0313393	0.0439012	0.00699605	0.0135834	0.024675	0.0925993	0.0238538	0.0891455	0.0417168	0.0253641	0.000213849	0.0276029	0.0226766	0.0594126	0.0398706	0.0334235	0.0395152	0.0221619	0.00807241	0.0131912	0.0248535	0.131017	0.637055	0.362945	1.54055
90	-697.0598	-725.4475	28.38769	0.155535	0.0039016	0.0279213	0.0742567	0.0791694	0.0389193	0.172905	0.0100509	0.0476528	0.189956	0.0350197	0.0089106	0.057879	0.0266912	0.0787635	0.0140916	0.031269	1.50058e-05	0.179127	0.0137079	0.0158852	0.03421	0.228557	0.00896435	0.0189217	0.00257119	0.0304524	0.0144517	0.0895458	0.589184	1.16433	0.4232018	1.576798	0.115244	0.348617	0.719815	1.38925	2.86848	8.67727	1.56234	3.725877	0.2024119	0.0920704	0.00230959	0.0165283	0.0439571	0.0468652	0.0230387	0.102353	0.00594975	0.0282086	0.112446	0.0207303	0.00527472	0.0342621	0.0158001	0.0466249	0.00834166	0.01851	8.88283e-06	0.106036	0.00811457	0.0094034	0.020251	0.135297	0.00530654	0.0112009	0.00152204	0.0180267	0.00855484	0.0530076	0.788399	0.211601	1.689301
120	-695.1824	-721.3703	26.18795	0.0263739	0.0161898	0.0472366	0.0165583	0.0332087	0.00983455	0.0175359	0.00227518	0.00932725	0.0819268	0.0252537	0.00258135	0.00141087	0.00410303	0.00985192	0.00288737	0.0131162	2.69466e-05	0.0119176	0.0180425	0.00676582	0.0320471	0.0268368	0.00276225	0.0218748	0.0360969	0.0134376	0.00606196	0.012619	0.371974	1.25121	0.06309614	1.936904	0.0775321	0.287341	0.677688	1.4756	3.48019	12.8979	1.848933	30.69766	0.1189164	0.0519007	0.0318596	0.0929561	0.0325848	0.0653507	0.0193532	0.0345086	0.00447729	0.0183549	0.161222	0.0496962	0.00507979	0.00277643	0.00807427	0.0193874	0.005682	0.0258111	5.30277e-05	0.0234525	0.0355056	0.0133143	0.0630649	0.0528116	0.00543578	0.0430471	0.0710344	0.0264436	0.0119292	0.0248328	0.968452	0.0315481	0.5081608
150	-701.7863	-729.6411	27.8548	0.0335393	0.0247144	0.00378285	0.00655462	0.0356016	0.0144976	0.0179052	0.0052046	0.00217553	0.00995312	0.0367694	0.0150769	0.00589719	0.0018832	0.00245124	0.0023565	0.0107047	0.00559611	0.0135741	0.00955473	0.00552186	0.0258341	0.0154141	0.00553273	0.011013	0.00450257	0.000198928	0.0391651	0.0198389	2.48877	0.404491	1.350497	0.6495035	0.0129845	0.120202	0.516357	1.93665	8.31929	77.0146	3.141008	0.4809368	2.461137	0.0871572	0.0642242	0.00983032	0.0170332	0.0925164	0.0376744	0.0465294	0.013525	0.00565347	0.0258647	0.095551	0.0391797	0.0153248	0.00489379	0.00636993	0.00612374	0.0278178	0.0145424	0.0352745	0.0248295	0.0143494	0.0671339	0.0400558	0.0143777	0.0286191	0.0117006	0.000516945	0.101777	0.0515546	0.324752	0.675248	0.3848141
180	-900.2894	-929.9803	29.69095	0.0355665	0.03586	0.0217892	0.0290477	0.00974611	0.0159796	0.0275322	0.00233915	0.0427393	0.0298409	0.0234615	0.00634221	0.0273547	0.0678153	0.0567621	0.0273897	0.0181645	0.0435389	0.0492531	0.017672	0.0493818	0.0360687	0.0308062	0.00833971	0.0429138	0.00305687	0.00097522	0.0781129	0.0194186	2.25573	0.497707	0.8657732	1.134227	0.448652	0.67645	0.88519	1.1297	1.47831	2.2289	0.5795454	1.310074	1.812902	0.0414882	0.0418306	0.025417	0.033884	0.0113688	0.0186401	0.0321162	0.00272861	0.0498553	0.0348093	0.0273677	0.00739816	0.0319091	0.0791062	0.0662127	0.0319499	0.0211888	0.050788	0.0574536	0.0206143	0.0576036	0.042074	0.0359353	0.00972824	0.0500588	0.00356583	0.00113759	0.0911184	0.0226517	0.567113	0.432887	0.8572683
210	-949.5442	-974.8942	25.34998	0.107359	0.0123527	0.0506684	0.00552912	0.0862958	0.0124878	0.0389714	0.0909893	0.203417	0.0268065	0.0282929	0.0157163	0.0493718	0.129872	0.0752073	0.105405	0.0241867	0.148748	0.0943239	0.0500304	0.0477827	0.0640448	0.0589965	0.0234701	0.0279141	0.0294568	0.00213717	0.156346	0.0136102	2.99853	0.200587	0.3215367	1.678463	0.472336	0.693636	0.892146	1.12089	1.44168	2.11714	0.5423487	5.220129	5.979519	0.0603214	0.00694056	0.0284687	0.00310661	0.0484865	0.00701646	0.0218966	0.0511236	0.114293	0.0150616	0.0158968	0.00883041	0.0277402	0.0729704	0.0422563	0.0592233	0.0135896	0.0835761	0.0529972	0.0281103	0.0268474	0.0359844	0.033148	0.013187	0.0156839	0.0165507	0.0012008	0.0878451	0.0076471	0.839232	0.160768	1.77979
240	-1107.781	-1137.608	29.82609	0.0366391	0.0491566	0.00130319	0.00802621	0.00741721	0.010555	0.0152718	0.0154243	0.025208	0.0188917	0.00396299	0.00578229	0.000729791	0.0639841	0.0168313	0.00627491	0.010265	0.0513398	0.00717829	0.0146793	0.00379829	0.0169048	0.00166214	0.000966795	0.0147213	0.000869463	0.000674466	0.00560746	0.0152168	2.69037	0.323853	1.249056	0.7509435	0.42279	0.657143	0.87723	1.13995	1.52174	2.36524	0.6224749	0.6012086	3.322952	0.0853377	0.114493	0.00303532	0.0186942	0.0172758	0.024584	0.0355702	0.0359253	0.0587131	0.0440014	0.00923037	0.0134678	0.00169979	0.149028	0.0392026	0.0146152	0.0239087	0.119578	0.0167193	0.0341903	0.00884676	0.0393736	0.00387136	0.0022518	0.0342881	0.0020251	0.00157093	0.0130606	0.0354422	0.375472	0.624528	0.4293425
270	-737.6267	-763.9098	26.28311	0.0136124	0.0229109	0.00293192	0.0743747	0.0182127	0.0336679	0.00723134	0.0850009	0.091504	0.0651626	0.0592675	0.0116459	0.0297154	0.157111	0.0413288	0.0178763	0.0589806	0.00680677	0.0208845	0.0357783	0.107494	0.0566485	0.0103124	0.0312943	0.0338319	0.00185967	0.013387	0.0682342	0.0516332	3.00452	0.198192	1.009016	0.9909837	0.0397257	0.207378	0.612129	1.63364	4.8221	25.1726	2.332445	0.9821285	6.063857	0.0110787	0.0186464	0.0023862	0.0605312	0.0148228	0.0274012	0.00588536	0.0691795	0.0744722	0.0530338	0.0482359	0.00947821	0.0241844	0.127868	0.0336362	0.0145489	0.0480024	0.00553981	0.0169972	0.0291188	0.0874863	0.0461044	0.00839292	0.0254694	0.0275347	0.00151353	0.0108952	0.0555337	0.0420226	0.495492	0.504508	1.2287
