Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-856.0371	-879.5571	23.51998	0.00019962	0.00178603	0.0185522	0.0397301	0.0222006	0.0135204	0.00913947	0.0415333	0.00263818	0.0154116	0.00339822	9.76304e-05	0.0371378	0.00142497	0.0361727	0.0147825	0.0028083	0.00356438	0.0153153	0.00647804	0.0849023	0.00330747	0.0143996	0.00381934	0.0187617	0.0062528	0.0218165	0.0116981	0.00385711	3.18427	0.126292	0.3019563	1.698044	0.0219485	0.155274	0.559291	1.78798	6.44022	45.5612	2.76144	5.623475	10.08539	0.000439009	0.00392788	0.0408003	0.0873752	0.048824	0.0297345	0.0200997	0.0913409	0.00580194	0.0338936	0.00747343	0.000214711	0.0816742	0.00313383	0.0795519	0.03251	0.00617607	0.00783885	0.0336817	0.0142466	0.186719	0.00727386	0.031668	0.00839957	0.0412612	0.0137513	0.0479794	0.0257266	0.00848265	0.849022	0.150978	0.4547063
30	-912.2423	-940.432	28.18968	0.00234966	0.00762106	0.0169062	0.00133007	0.00795616	0.00322657	0.0063381	0.0365571	0.0151931	0.037402	0.0135684	0.000191763	0.0519762	0.0273774	0.00190061	0.063154	0.014156	0.0179111	0.0496308	0.00590331	0.0297358	0.00301403	0.0436842	0.00993823	0.0286064	0.0534075	0.0179132	0.0106602	0.00858954	2.1872	0.525118	0.3969888	1.603011	0.258233	0.516698	0.813833	1.22875	1.93537	3.87248	0.9789586	4.037926	1.666066	0.0040083	0.0130008	0.0288404	0.00226897	0.0135725	0.00550423	0.0108122	0.062363	0.025918	0.0638043	0.0231463	0.00032713	0.0886665	0.0467033	0.00324227	0.107735	0.0241488	0.0305547	0.0846655	0.0100705	0.0507266	0.00514166	0.0745211	0.0169537	0.0487998	0.0911082	0.0305582	0.0181853	0.014653	0.801506	0.198494	0.5861987
60	-700.3146	-726.5605	26.24588	0.0264311	0.00818349	0.179622	0.0180935	0.107296	0.0269057	0.0022822	0.0873601	0.0181408	0.0500748	0.0629644	0.0045188	0.217773	0.0367653	0.023072	0.156463	0.0173966	0.0251127	0.0122093	0.0864417	0.00977425	0.00867304	0.108227	0.0118143	0.0281934	0.111318	0.0385993	0.031926	0.0977548	2.91278	0.23489	1.078417	0.9215832	0.0418303	0.212666	0.616956	1.62086	4.70222	23.9061	2.295118	0.8545705	4.960245	0.0163824	0.00507225	0.111332	0.0112146	0.0665037	0.0166766	0.00141454	0.0541471	0.0112439	0.0310371	0.0390263	0.00280082	0.134979	0.0227876	0.0143003	0.0969779	0.0107827	0.0155652	0.00756751	0.0535778	0.00605822	0.00537567	0.0670805	0.00732268	0.0174747	0.0689962	0.0239244	0.0197882	0.0605898	0.460792	0.539208	1.613386
90	-877.9352	-907.1055	29.17023	0.0934288	0.0115571	0.136925	0.0503706	0.03763	0.036312	0.0362218	0.0160523	0.037552	0.0198617	0.0265141	0.00270125	0.155081	0.0795309	0.0491845	0.050843	0.0255966	0.0205127	0.169663	0.0444692	0.0192066	0.00819866	0.0872235	0.0145348	0.00533564	0.0539597	0.0428174	0.052777	0.197079	2.63311	0.346758	1.478596	0.5214038	0.319831	0.57352	0.840759	1.1894	1.74362	3.12665	0.8242721	0.3526344	3.037402	0.0590895	0.00730934	0.0865989	0.0318572	0.0237993	0.0229657	0.0229087	0.0101524	0.02375	0.0125616	0.016769	0.00170842	0.0980817	0.0502998	0.031107	0.0321559	0.0161887	0.0129734	0.107304	0.0281248	0.0121473	0.00518529	0.055165	0.00919261	0.00337455	0.0341271	0.0270801	0.0333791	0.124644	0.260702	0.739298	1.581139
120	-692.7523	-721.2402	28.48788	0.00575717	0.015758	0.0522905	0.00924348	0.0677142	0.0204537	0.0451407	0.0860102	0.0156937	0.00362237	0.00779112	0.0081462	0.011362	0.0150546	0.00588881	0.0505194	0.00954412	0.00867988	0.0531388	0.037369	0.0449469	0.00237461	0.0304258	0.00477479	0.0267725	0.0200125	0.0347041	0.00807301	0.00991153	2.65973	0.336107	1.508014	0.4919862	0.0337001	0.191391	0.596998	1.67505	5.2249	29.6735	2.451387	0.3262478	3.16534	0.00809531	0.0221578	0.0735271	0.0129975	0.0952148	0.0287605	0.0634735	0.120941	0.0220674	0.00509351	0.0109553	0.0114546	0.0159764	0.0211686	0.00828041	0.0710367	0.0134202	0.012205	0.0747199	0.0525455	0.063201	0.003339	0.0427825	0.00671395	0.0376455	0.02814	0.0487983	0.0113517	0.0139369	0.245993	0.754007	0.7111737
150	-730.4874	-763.7382	33.25079	0.00850493	0.0292919	0.0284126	0.00391349	0.0597105	0.0161811	0.0242671	0.0028774	0.00504006	0.0236698	0.0125349	0.0435071	0.00910806	0.0022689	0.00228277	0.0054282	0.00898672	0.0088706	0.0492278	0.00735986	0.0397542	0.0181647	0.0168661	0.00670116	0.00287844	0.00678836	0.0029687	0.00671775	0.00523903	0.350143	1.25994	1.847815	0.1521853	0.140185	0.383569	0.741595	1.34844	2.60709	7.13345	1.420683	0.08235962	0.1111616	0.0185891	0.064023	0.0621009	0.00855365	0.130508	0.0353669	0.0530402	0.0062891	0.011016	0.0517348	0.0273975	0.0950928	0.0199074	0.0049591	0.00498943	0.0118643	0.0196422	0.0193884	0.107596	0.0160863	0.0868901	0.0397023	0.036864	0.0146466	0.00629137	0.0148372	0.00648864	0.0146829	0.0114509	0.0760927	0.923907	0.4575222
180	-653.8896	-682.0701	28.18057	0.00911186	0.0327879	0.0185857	0.0338174	0.0338546	0.0193091	0.0374004	0.0199621	0.0086224	0.0177214	0.041178	0.0449249	0.041625	0.0277672	0.0210238	0.0260942	0.00902013	0.0667701	0.0526438	0.0192356	0.0293496	0.00104806	0.0177146	0.0516776	0.0016889	0.00154646	0.00275788	0.0106833	0.021242	1.81426	0.674294	1.002123	0.997877	0.0149533	0.12877	0.527568	1.89549	7.76578	66.8748	3.03893	0.995763	1.076244	0.0126701	0.0455917	0.0258435	0.0470232	0.047075	0.0268494	0.0520053	0.0277574	0.0119895	0.0246416	0.0572581	0.0624682	0.0578798	0.0386104	0.0292337	0.036284	0.0125425	0.0928441	0.0732013	0.0267472	0.0408107	0.00145734	0.0246322	0.0718579	0.00234842	0.00215035	0.00383484	0.0148551	0.0295371	0.498938	0.501062	0.719164
210	-903.5865	-934.8841	31.29757	0.0413812	0.0229152	0.00384197	0.000946959	0.00548286	0.0423925	0.0689019	0.0367758	0.0107851	0.0111054	0.0215765	0.0246111	0.0662059	0.0622404	0.0520376	0.0807339	0.00604659	0.120819	0.0168847	0.0710495	0.0980699	0.0679042	0.00351353	0.0538008	0.0019676	0.00284901	0.0364806	0.0179468	0.0215231	1.21715	0.913141	1.113687	0.8863127	0.509232	0.719552	0.902414	1.10814	1.38975	1.96374	0.4879646	0.7958363	0.5331698	0.0386455	0.0214002	0.00358798	0.000884355	0.00512039	0.0395899	0.0643468	0.0343446	0.0100721	0.0103712	0.0201501	0.022984	0.061829	0.0581257	0.0485974	0.0753965	0.00564685	0.112832	0.0157684	0.0663524	0.0915865	0.0634151	0.00328125	0.050244	0.00183752	0.00266066	0.0340689	0.0167603	0.0201002	0.443156	0.556844	1.07079
240	-934.8496	-965.699	30.84938	0.0105728	0.0587073	0.00616327	0.00801173	0.00286903	0.00813525	0.0199578	0.0193081	0.00282993	0.00529207	0.00616462	0.0103568	0.0227606	0.0163315	0.0136543	0.0226417	0.0038949	0.00499284	0.00343744	0.00937561	0.0242686	0.0201713	0.00236264	0.00239532	0.00990931	0.000747561	0.00471275	0.00339496	0.013473	1.71096	0.715615	1.294749	0.7052508	0.23342	0.491857	0.801419	1.24779	2.03311	4.28413	1.052005	0.5447007	0.9563591	0.0313831	0.174261	0.0182944	0.0237812	0.00851616	0.0241479	0.0592408	0.0573122	0.0084001	0.0157085	0.0182984	0.0307421	0.0675603	0.0484768	0.0405302	0.0672075	0.0115612	0.0148203	0.0102034	0.0278296	0.0720365	0.0598746	0.00701302	0.00711003	0.0294138	0.00221899	0.0139888	0.0100773	0.039992	0.352625	0.647375	0.336893
270	-681.6351	-711.2822	29.64704	0.011748	0.0325425	0.00850887	0.0408202	0.0107574	0.0390745	0.0748355	0.0865622	0.00271474	0.0685784	0.00503553	0.0041986	0.117161	0.0403963	0.0185995	0.155163	0.030639	0.000483609	0.0724216	0.155277	0.119619	0.0265563	0.00026006	0.0128256	0.0126333	0.000211511	0.00765785	0.0187381	0.0602751	0.64166	1.14334	0.726043	1.273957	0.0870218	0.303986	0.689699	1.44991	3.28962	11.4914	1.765443	1.754658	0.2244871	0.00951799	0.0263653	0.00689371	0.0330717	0.00871543	0.0316574	0.0606302	0.0701309	0.00219942	0.0555608	0.00407968	0.00340162	0.0949214	0.0327283	0.015069	0.12571	0.0248231	0.00039181	0.0586745	0.125802	0.0969129	0.0215154	0.000210695	0.0103911	0.0102352	0.000171362	0.00620423	0.0151812	0.0488336	0.636978	0.363022	1.234295
